,sentiment,content
0,2,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,10,Layin n bed with a headache  ughhhh...waitin on your call...
2,10,Funeral ceremony...gloomy friday...
3,3,wants to hang out with friends SOON!
4,8,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
5,12,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,10,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,12,Hmmm. http://www.djhero.com/ is down
8,10,@charviray Charlene my love. I miss you
9,10,@kelcouch I'm sorry  at least it's Friday?
10,8,cant fall asleep
11,12,Choked on her retainers
12,10,Ugh! I have to beat this stupid song to get to the next  rude!
13,10,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
14,11,Got the news
15,10,The storm is here and the electricity is gone
16,7,@annarosekerr agreed
17,10,So sleepy again and it's not even that late. I fail once again.
18,12,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,10,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,12,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21,4,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
22,8,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23,12,I ate Something I don't know what it is... Why do I keep Telling things about food
24,10,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,12,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,10,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,12,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,10,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,12,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
30,6,It is so annoying when she starts typing on her computer in the middle of the night!
31,8,@cynthia_123 i cant sleep
32,8,I missed the bl***y bus!!!!!!!!
33,8,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
34,8,SoCal!  stoked. or maybe not.. tomorrow
35,8,Screw you @davidbrussee! I only have 3 weeks...
36,10,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
37,12,I need skott right now
38,8,has work this afternoon
39,8,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
40,5,mmm much better day... so far! it's still quite early. last day of #uds
41,4,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
